Date,High,Low,Summary
23-06-24,31.0,28.0,Thundery showers and light winds
23-06-25,31.0,27.0,Thundery showers and a gentle breeze
23-06-26,29.0,26.0,Thundery showers and a gentle breeze
23-06-27,29.0,27.0,Thundery showers and a gentle breeze
23-06-28,28.0,26.0,Thundery showers and a gentle breeze
23-06-29,29.0,26.0,Thundery showers and a moderate breeze
23-06-30,30.0,27.0,Thundery showers and a moderate breeze
23-07-01,30.0,26.0,Thundery showers and a moderate breeze
23-07-02,31.0,26.0,Thundery showers and a moderate breeze
23-07-03,31.0,27.0,Thundery showers and a moderate breeze
23-07-04,31.0,27.0,Thundery showers and a moderate breeze
23-07-05,31.0,27.0,Thundery showers and a moderate breeze
23-07-06,31.0,27.0,Thundery showers and a moderate breeze
